Duration|English|Arabic
5|welcome customContent0 to the virtual classroom, an e-education program.|اهلا بك 0tnetnoCmotsuc في الفصل الافتراضي، وهو برنامج للتعليم الإلكتروني.
3|let's discover the many courses together and improve your professional skills!|لِنكتشف معًا العديد من الكورسات ونحسن مهاراتك المهنية!
2|customContent0 welcome to the online class!|اهلا بك 0tnetnoCmotsuc في الفصل الإلكتروني,
3|stc is providing the infrastructure for education for all levels online and offline.|توفر stc البنية التحتية للتعليم لجميع المستويات في الواقع وعبر الإنترنت على حدٍّ سواء.
3|to make any disciplines and courses available| وهذا من أجل إتاحة الاختصاصات والكورسات المختلفة.
3|you can choose from various courses to acquire knowledge and qualified skills.|يمكنك الاختيار من بين كورساتٍ مختلفة لاكتساب المعرفة والمهارات المُؤهَلة.
3|you can also register for tests and exams here.|يمكنك أيضًا التسجيل في الاختبارات هنا.
3|you will receive certificates for successfully completed courses!|ستحصل على شهاداتٍ لكُلّ كورسٍ تُكمِله بنجاح!
3|customContent0  you are now joining a course for beginners to learn more about coding and programming.| انت الآن تنضم إلى كورس للمبتدئين لتتعلم أكثر عن البرمجة 0tnetnoCmotsuc
3|emojis represent a universal language and are understood by everyone in the world.|يمثل الإيموجي لغةً عالمية يفهمها الجميع حول العالم.
3|express and visualize your emotions in computer language.|عبّر عن مشاعرك وصوِّرها بلغة الكمبيوتر.
3|now let's create your very own emoji and watch how emojis go digital!|الآن دعنا ننشئ الرموز التعبيرية الخاصة بك ونشاهد كيف تتحول الرموز التعبيرية إلى رقمية!
3|here you will find an overview of the various codes that apply worldwide.|ستجد هنا نظرةً عامة على الرموز المختلفة التي تنطبق في جميع أنحاء العالم. 
2|see and learn the codes.|انظر إلى الرموز وتعلمها.
3|you are an expert if you know them by heart.|أذا كنت تعرف هذه الرموز عن ظهر قلبٍ فأنت شخصٌ مُحترف.
3|I will teach you how to program an emoji with shortcuts....|سأعلمك كيف تبرمج إيموجي مع اختصارات....
4|...and you'll learn the basic elements of coding with JavaScript in an HTML browser....|كما ستتعلم العناصر الأساسية للبرمجة باستخدام لغة JavaScript في متصفح HTML
4|... afterwards you will be able to visualize your emotions using computer language...|بعدها ستتمكن من تصوّر مشاعرك باستخدام لغة الكمبيوتر…
0|step 01: open the browser|الخطوة 1 افتح المتصفح
0|step 02: open the html box|الخطوة 2 افتح صندوق html
0|step 03: create a frame to draw on|الخطوة 3 أنشئ إطارًا  لترسم عليه
0|step 04: add size of the emoji |الخطوة 4 اضف حجم الايموجي بإدخال قطر الدائرة المرسومة
0|step 05: add color in fill field|"الخطوة 5 اضف اللون في حقل الإدخال " fill "
0|step 06: create a facial expression|الخطوة 6 أنشئ تعبير وجهٍ
3|now it's your turn to create your own emoji customContent0|حان الآن وقت إنشاء الإيموجي الخاص بك 0tnetnoCmotsuc !
3|here is your task code the following emojis|إليك المهمة، قم ببرمجة رموز الإيموجي التالية
5|task customContent0 : create a customContent1 customContent2 customContent3 emoji|المهمة 0tnetnoCmotsuc : أنشئ إيموجي 3tnetnoCmotsuc 2tnetnoCmotsuc 1tnetnoCmotsuc
3|well done customContent0  !|احسنت 0tnetnoCmotsuc !
0|would you like to try again?|هل ترغب في إعادة التجربة؟
3|customContent0|customContent0
5|let's take a quick look at your performance to see how you can improve your skills further|لنلقي نظرةً سريعة على أدائك لنرى كيف يمكنك تحسين مهاراتك أكثر.
3|it seems like you could be next coding start!|لديك ما يلزم لتكون نجم البرمجة التالي!
8|here are your results|هذه هي نتائجك!
0|let's have a look on the benefits that online education brings.|لنلقي نظرةً على الفوائد التي يجلبها التعليم الافتراضي.
4|customContent0 I hope to see you again in the next course!| آمل أن أراك مرة أخرى في الدرس المقبل 0tnetnoCmotsuc
0|please type on the code of the topic you would like to choose |رجاء اختر موضوعًا بإدخال الرمز!
5|if you like: you can discover more e-Education solutions from stc|إذا أردت، يمكنك اكتشاف المزيد من حلول التعليم الإلكتروني من stc.
6|e-education solutions platform|منصة حلول التعليم الإلكتروني
0|customContent0|customContent0
